sequence,case,region,metric,on,off,on_minus_off
20200813-subject-02/20200813_154729,natural,geometry_focus_proxy,camera_consistency_mm,57.91299692789713,57.91702429453532,-0.004027366638183594
20200813-subject-02/20200813_155021,natural,geometry_focus_proxy,camera_consistency_mm,56.33965885639191,56.338097393512726,0.0015614628791809082
20200813-subject-02/20200813_155314,natural,geometry_focus_proxy,camera_consistency_mm,27.891366595313663,27.88829367501395,0.0030729202997115124
20200813-subject-02/20200813_155633,natural,geometry_focus_proxy,camera_consistency_mm,52.48163314092727,52.48228926885696,-0.0006561279296875
20200709-subject-01/20200709_142123,natural,geometry_focus_proxy,xyz_depth_inconsistency_mm,36.912071108818054,36.917700469493866,-0.005629360675811768
20200709-subject-01/20200709_142446,natural,geometry_focus_proxy,xyz_depth_inconsistency_mm,38.906844079494476,38.90918165445328,-0.0023375749588012695
20200709-subject-01/20200709_142802,natural,geometry_focus_proxy,xyz_depth_inconsistency_mm,27.848352556643277,27.85160831783129,-0.003255761188011519
20200709-subject-01/20200709_143125,natural,geometry_focus_proxy,xyz_depth_inconsistency_mm,13.027641788125038,13.025829330086708,0.0018124580383300781
20200709-subject-01/20200709_143531,natural,geometry_focus_proxy,xyz_depth_inconsistency_mm,41.04164159297943,41.02702081203461,0.014620780944824219
20200709-subject-01/20200709_143907,natural,geometry_focus_proxy,xyz_depth_inconsistency_mm,27.925617036365328,27.92724850064232,-0.001631464276993455
20200709-subject-01/20200709_144313,natural,geometry_focus_proxy,xyz_depth_inconsistency_mm,17.935187046344463,17.931133416982796,0.004053629361667532
20200709-subject-01/20200709_144735,natural,geometry_focus_proxy,xyz_depth_inconsistency_mm,12.08529458194971,12.084888897836208,0.00040568411350250244
20200709-subject-01/20200709_145132,natural,geometry_focus_proxy,xyz_depth_inconsistency_mm,5.800052908062935,5.8003219097852705,-0.00026900172233546016
20200709-subject-01/20200709_145743,natural,geometry_focus_proxy,xyz_depth_inconsistency_mm,36.189197301864624,36.18512707948685,0.0040702223777771
20200709-subject-01/20200709_150144,natural,geometry_focus_proxy,xyz_depth_inconsistency_mm,60.90868142934946,60.90974807739258,-0.0010666480431211767
20200709-subject-01/20200709_150524,natural,geometry_focus_proxy,xyz_depth_inconsistency_mm,32.797453343868256,32.80372071266174,-0.006267368793487549
20200709-subject-01/20200709_150906,natural,geometry_focus_proxy,xyz_depth_inconsistency_mm,36.42742131551107,36.42588386535645,0.0015374501546219221
20200709-subject-01/20200709_151246,natural,geometry_focus_proxy,xyz_depth_inconsistency_mm,26.77939848105113,26.78049437204997,-0.001095890998840332
20200709-subject-01/20200709_151632,natural,geometry_focus_proxy,xyz_depth_inconsistency_mm,14.961852645874023,14.955472485224407,0.006380160649616329
20200709-subject-01/20200709_152420,natural,geometry_focus_proxy,xyz_depth_inconsistency_mm,11.738664850592613,11.743910297751427,-0.0052454471588134766
20200709-subject-01/20200709_152757,natural,geometry_focus_proxy,xyz_depth_inconsistency_mm,2.4328373074531555,2.4297414652762876,0.003095842176867869
20200709-subject-01/20200709_153148,natural,geometry_focus_proxy,xyz_depth_inconsistency_mm,28.815842347986557,28.81180202259737,0.004040325389187416
20200709-subject-01/20200709_153548,natural,geometry_focus_proxy,xyz_depth_inconsistency_mm,10.371470594406128,10.354852676391602,0.016617918014526722
20200813-subject-02/20200813_145612,natural,geometry_focus_proxy,xyz_depth_inconsistency_mm,27.79931003397161,27.80062502080744,-0.0013149868358297567
20200813-subject-02/20200813_145920,natural,geometry_focus_proxy,xyz_depth_inconsistency_mm,34.77285548618862,34.776669366019114,-0.0038138798304956367
