population,metric,contrast,delta,lower95,upper95,lower99,upper99
asymmetric,rotation_deg,s1_l1_vs_residual,-0.13286552442315624,-1.3834165236669265,1.1500887453077793,-1.6672309616731813,1.4258790506084529
asymmetric,rotation_deg,s1_l1_vs_fp,-3.490629176796862,-7.430565984371805,0.545237029080745,-8.632118718402928,1.6098520672973582
asymmetric,rotation_deg,s1_l0_vs_residual,-0.2090050171283231,-1.4215792146368953,1.0193719549604376,-1.6801491061747633,1.2901625512074335
asymmetric,rotation_deg,s1_l0_vs_fp,-3.5667686695020286,-7.461263070034811,0.4579718182332446,-8.691229228710615,1.4840225211512328
asymmetric,center_mm,spatial_with_latent,0.02766850692233369,-0.05376218759864047,0.1024944830121742,-0.07301165073278627,0.12055963455413463
asymmetric,center_mm,spatial_without_latent,0.11970959456755459,0.02569834822481465,0.2177085790057297,0.005173878702714069,0.2368170608699224
asymmetric,center_mm,remove_latent_without_spatial,-0.04225280842924306,-0.11907999282358665,0.022993332765844695,-0.13566847507966204,0.033541712532959865
asymmetric,center_mm,remove_latent_with_spatial,0.04978827921597784,-0.010458484307260218,0.1308402879368671,-0.018753563418626617,0.1438965184305915
asymmetric,center_mm,interaction,0.0920410876452209,-0.013811364329455778,0.22339781211359624,-0.029359602309622597,0.2508097536166795
asymmetric,center_mm,s0_l1_vs_residual,0.020907291906128833,-2.725385862925613,3.222830870105316,-3.0389296704158006,3.7307083713164193
asymmetric,center_mm,s0_l1_vs_fp,-31.447370062226348,-45.61652860366353,-17.275922617139702,-49.93009984295469,-13.808780629976956
asymmetric,center_mm,s0_l0_vs_residual,-0.021345516523114227,-2.7862379075600856,3.175097051053625,-3.1117867086463527,3.6915357990048863
asymmetric,center_mm,s0_l0_vs_fp,-31.489622870655587,-45.67462151601064,-17.28248560762495,-50.009188467610045,-13.878332498150904
asymmetric,center_mm,s1_l1_vs_residual,0.048575798828462524,-2.7390071309834227,3.245026113437787,-3.053313940674597,3.7826208290280845
asymmetric,center_mm,s1_l1_vs_fp,-31.419701555304012,-45.62555099086422,-17.1961741295175,-49.95840673520739,-13.78170871061864
asymmetric,center_mm,s1_l0_vs_residual,0.09836407804444036,-2.7336303857948696,3.3690487497359505,-3.0495851355252297,3.916147865549594
