population,metric,physical_sequence,object_id,method,frames,sum
all,adds_005,20200709-subject-01/20200709_153148,20,s1_l0,576,38300.0
all,adds_005,20200709-subject-01/20200709_153148,20,fp,576,46200.0
all,adds_005,20200709-subject-01/20200709_153548,21,residual,576,45800.0
all,adds_005,20200709-subject-01/20200709_153548,21,s0_l1,576,45500.0
all,adds_005,20200709-subject-01/20200709_153548,21,s0_l0,576,45400.0
all,adds_005,20200709-subject-01/20200709_153548,21,s1_l1,576,45600.0
all,adds_005,20200709-subject-01/20200709_153548,21,s1_l0,576,45700.0
all,adds_005,20200709-subject-01/20200709_153548,21,fp,576,33200.0
all,adds_005,20200813-subject-02/20200813_145612,1,residual,592,59200.0
all,adds_005,20200813-subject-02/20200813_145612,1,s0_l1,592,58800.0
all,adds_005,20200813-subject-02/20200813_145612,1,s0_l0,592,58800.0
all,adds_005,20200813-subject-02/20200813_145612,1,s1_l1,592,58800.0
all,adds_005,20200813-subject-02/20200813_145612,1,s1_l0,592,58800.0
all,adds_005,20200813-subject-02/20200813_145612,1,fp,592,57700.0
all,adds_005,20200813-subject-02/20200813_145920,2,residual,592,59000.0
all,adds_005,20200813-subject-02/20200813_145920,2,s0_l1,592,59000.0
all,adds_005,20200813-subject-02/20200813_145920,2,s0_l0,592,59000.0
all,adds_005,20200813-subject-02/20200813_145920,2,s1_l1,592,59000.0
all,adds_005,20200813-subject-02/20200813_145920,2,s1_l0,592,59000.0
all,adds_005,20200813-subject-02/20200813_145920,2,fp,592,58900.0
all,adds_005,20200813-subject-02/20200813_150228,3,residual,576,53900.0
all,adds_005,20200813-subject-02/20200813_150228,3,s0_l1,576,54100.0
all,adds_005,20200813-subject-02/20200813_150228,3,s0_l0,576,54000.0
all,adds_005,20200813-subject-02/20200813_150228,3,s1_l1,576,54200.0
all,adds_005,20200813-subject-02/20200813_150228,3,s1_l0,576,54100.0
all,adds_005,20200813-subject-02/20200813_150228,3,fp,576,39900.0
all,adds_005,20200813-subject-02/20200813_150535,4,residual,592,51900.0
all,adds_005,20200813-subject-02/20200813_150535,4,s0_l1,592,54100.0
